Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,Salary
Bachelors,2015,Bangalore,3,24,Female,No,2,1,30053
Masters,2012,Pune,3,25,Male,No,3,1,40224
Bachelors,2013,Pune,3,25,Male,No,3,0,106353
Masters,2017,New Delhi,3,26,Female,No,4,1,116196
Bachelors,2015,Pune,2,28,Female,Yes,1,1,52155
Bachelors,2017,New Delhi,3,28,Male,No,2,0,103613
Masters,2015,Pune,1,28,Female,No,3,1,91871
Masters,2015,New Delhi,3,25,Male,No,3,0,90592
Bachelors,2017,Bangalore,3,28,Male,No,1,0,60451
Masters,2013,Pune,3,25,Male,No,3,0,93704
Bachelors,2015,Bangalore,2,25,Female,No,3,1,38098
Bachelors,2015,Bangalore,3,27,Female,No,5,0,45569
Bachelors,2017,Pune,2,27,Female,No,5,1,51727
Bachelors,2013,Bangalore,3,27,Male,No,5,1,95810
Bachelors,2012,Bangalore,3,25,Male,No,3,0,42842
Masters,2017,New Delhi,2,28,Male,No,2,0,114707
Bachelors,2014,Pune,1,26,Female,No,4,1,114155
Bachelors,2015,Bangalore,3,28,Male,No,2,0,41506
Masters,2013,New Delhi,3,26,Male,No,4,0,34872
Bachelors,2017,Bangalore,3,26,Female,No,4,0,105440
Bachelors,2017,New Delhi,2,25,Male,No,3,0,52876
Bachelors,2012,Bangalore,1,28,Female,No,3,0,61276
PHD,2015,New Delhi,3,26,Male,No,4,0,111526
Bachelors,2015,New Delhi,3,25,Female,No,3,0,40960
Bachelors,2012,Bangalore,3,26,Male,No,4,1,76274
Bachelors,2014,Bangalore,3,28,Female,No,3,0,112100
Masters,2014,Pune,3,24,Male,No,2,0,89099
Bachelors,2013,Bangalore,3,28,Male,No,1,0,90020
Bachelors,2015,Pune,3,27,Male,No,5,0,97671
Bachelors,2018,Bangalore,3,25,Male,No,3,1,87466
Masters,2013,Pune,1,24,Male,No,2,1,105484
Bachelors,2017,Bangalore,3,26,Female,No,4,0,39571
Bachelors,2013,Bangalore,3,28,Male,No,1,1,64108
Masters,2016,New Delhi,3,27,Male,No,5,0,102059
Masters,2017,Bangalore,3,26,Male,No,4,0,40358
Masters,2017,New Delhi,2,24,Male,No,2,0,102078
Masters,2018,New Delhi,3,26,Male,No,4,1,106340
Masters,2017,New Delhi,1,25,Female,No,3,1,80436
Bachelors,2012,Pune,3,28,Male,No,2,0,90492
Bachelors,2017,New Delhi,3,28,Male,No,2,0,69587
Bachelors,2013,Bangalore,3,26,Male,No,4,0,103199
Masters,2013,New Delhi,3,27,Male,No,5,1,36488
Bachelors,2017,Pune,2,24,Female,No,2,1,98300
Bachelors,2017,New Delhi,3,28,Female,No,2,0,105682
Bachelors,2016,Bangalore,3,26,Male,No,4,0,108936
Bachelors,2013,Bangalore,3,27,Female,No,5,0,62791
Masters,2015,Pune,2,28,Female,No,3,0,31668
Bachelors,2014,Bangalore,3,25,Male,No,3,0,83424
Bachelors,2016,Pune,3,28,Male,No,1,0,53522
Masters,2013,Bangalore,1,25,Male,No,3,1,69291
Bachelors,2015,Pune,3,26,Male,No,4,0,33480
Bachelors,2018,New Delhi,3,27,Female,No,5,1,107945
Bachelors,2016,Bangalore,3,24,Male,No,2,1,30505
Bachelors,2012,Pune,2,24,Female,No,2,1,99248
Bachelors,2014,Bangalore,3,26,Male,No,4,0,103441
Bachelors,2016,Pune,2,24,Female,No,2,1,70432
Masters,2012,New Delhi,3,26,Female,No,4,0,67772
Bachelors,2013,Bangalore,3,28,Female,No,3,0,39392
Bachelors,2012,Bangalore,3,24,Male,No,2,1,60987
Bachelors,2015,Bangalore,3,25,Male,No,3,1,63365
Bachelors,2016,Bangalore,3,28,Male,No,3,0,79330
Bachelors,2014,Bangalore,3,28,Female,No,3,0,45169
Bachelors,2013,Bangalore,3,26,Female,No,4,0,98878
Masters,2017,New Delhi,3,24,Female,No,2,1,115347
Bachelors,2016,Bangalore,3,25,Male,No,3,1,34212
Bachelors,2015,Bangalore,3,25,Male,No,3,0,84164
Bachelors,2014,Bangalore,3,27,Male,No,5,0,100462
Bachelors,2012,Bangalore,3,24,Male,No,2,0,113420
Bachelors,2014,Bangalore,3,25,Male,No,3,0,112632
Bachelors,2015,Bangalore,3,28,Male,No,3,0,50282
Masters,2015,New Delhi,3,26,Male,No,4,1,79995
Bachelors,2014,New Delhi,3,28,Female,No,1,0,78853
Bachelors,2015,Pune,3,25,Male,No,3,0,74627
Masters,2015,Pune,2,28,Female,No,2,0,119932
Bachelors,2014,Bangalore,3,27,Female,No,5,0,77086
Bachelors,2013,Bangalore,3,26,Male,No,4,0,31849
Bachelors,2016,Bangalore,3,26,Male,No,4,0,75779
Bachelors,2012,Bangalore,3,25,Male,No,3,0,67376
Bachelors,2015,Bangalore,3,25,Male,No,3,0,82409
Bachelors,2014,New Delhi,3,24,Female,No,2,0,95217
Bachelors,2012,Bangalore,3,27,Male,No,5,1,119374
Masters,2017,New Delhi,3,27,Male,No,5,1,118812
Bachelors,2015,Pune,3,27,Male,No,5,0,72113
Bachelors,2018,Bangalore,3,24,Male,No,2,1,98741
Masters,2017,New Delhi,3,27,Male,No,5,1,86945
Masters,2017,New Delhi,2,28,Female,No,1,1,57859
Masters,2017,Pune,2,24,Male,No,2,1,104995
Masters,2016,New Delhi,3,25,Female,No,3,1,40178
PHD,2015,New Delhi,3,28,Female,No,1,0,108578
Bachelors,2017,New Delhi,2,26,Male,No,4,0,56451
Bachelors,2013,Bangalore,2,27,Male,No,5,0,79937
Bachelors,2015,Bangalore,3,26,Male,No,4,0,51735
Bachelors,2015,Bangalore,3,26,Male,No,4,0,32285
Bachelors,2013,Bangalore,3,28,Male,No,1,0,68857
Bachelors,2015,Bangalore,3,27,Female,No,5,0,108860
Bachelors,2013,New Delhi,3,25,Female,No,3,0,116381
Bachelors,2013,Pune,3,28,Male,No,1,0,116067
Bachelors,2017,Pune,3,24,Male,No,2,0,33660
Bachelors,2013,New Delhi,3,27,Female,No,5,0,83791
Bachelors,2015,Bangalore,3,28,Male,Yes,2,0,101284
Bachelors,2015,Pune,3,28,Male,No,3,0,118426
Bachelors,2014,Pune,2,25,Female,No,3,1,117373
Bachelors,2014,Bangalore,3,25,Male,No,3,0,61466
Bachelors,2017,Bangalore,3,27,Male,No,5,0,78015
Bachelors,2014,Pune,2,26,Female,No,4,1,114475
PHD,2013,New Delhi,3,24,Male,No,2,0,109473
Bachelors,2015,Pune,2,26,Female,No,4,1,52925
Bachelors,2017,Bangalore,3,25,Male,No,3,0,82116
Masters,2013,Pune,2,27,Male,No,5,1,45591
Masters,2017,Bangalore,3,28,Male,No,2,0,113186
Bachelors,2012,Bangalore,3,25,Male,No,3,1,90157
Bachelors,2017,Bangalore,3,27,Male,No,5,0,57570
Masters,2017,Pune,2,27,Female,No,5,0,30976
Masters,2013,Bangalore,2,28,Female,No,2,1,118315
Masters,2017,Pune,3,28,Male,No,1,1,108465
Bachelors,2018,Bangalore,3,27,Female,No,5,1,38872
Bachelors,2014,New Delhi,3,25,Female,No,3,0,60822
Masters,2017,New Delhi,3,27,Male,No,5,1,47116
Masters,2013,New Delhi,3,26,Male,No,4,1,64197
Bachelors,2013,Pune,2,25,Female,No,3,1,70741
Masters,2012,New Delhi,3,26,Male,No,4,1,92603
Bachelors,2016,Bangalore,3,25,Male,No,3,1,111023
Bachelors,2013,Pune,2,26,Male,No,4,0,53629
Bachelors,2018,Bangalore,3,28,Female,No,2,1,95900
Bachelors,2013,Bangalore,3,27,Male,No,5,0,113988
Bachelors,2015,Pune,1,24,Female,Yes,2,1,64417
Bachelors,2013,Pune,3,28,Male,No,2,0,71305
Bachelors,2015,Pune,2,27,Female,Yes,5,1,57548
Bachelors,2018,Bangalore,3,25,Male,No,3,1,102701
Bachelors,2014,Pune,2,27,Female,No,5,1,58540
Bachelors,2013,Pune,3,24,Male,No,2,0,59782
Bachelors,2014,Pune,3,24,Male,No,2,0,87991
PHD,2015,New Delhi,2,25,Female,No,3,0,31089
Bachelors,2014,Bangalore,3,26,Male,Yes,4,0,49617
Bachelors,2018,Bangalore,3,24,Male,No,2,1,53471
Masters,2015,Pune,2,25,Female,No,3,0,49745
Bachelors,2015,Bangalore,3,24,Male,No,2,0,37366
Bachelors,2014,New Delhi,3,24,Female,No,2,0,37843
Masters,2017,Bangalore,2,26,Female,No,4,1,40265
Bachelors,2012,New Delhi,3,28,Male,No,1,0,65435
Masters,2017,Pune,2,26,Female,No,4,0,102313
Bachelors,2016,Pune,3,25,Male,No,3,0,86682
Bachelors,2017,New Delhi,3,24,Male,No,2,1,36864
Bachelors,2013,Pune,2,28,Female,No,3,1,68215
Bachelors,2014,Bangalore,3,25,Female,No,3,1,72844
Bachelors,2014,Bangalore,3,25,Male,No,3,0,70382
Bachelors,2014,Pune,2,24,Female,No,2,1,44177
Bachelors,2015,Bangalore,3,28,Male,No,2,1,83981
Bachelors,2015,Bangalore,3,27,Male,No,5,0,66287
Bachelors,2016,Pune,3,26,Male,No,4,0,108504
Masters,2015,New Delhi,3,26,Female,No,4,1,101129
Bachelors,2016,Bangalore,1,28,Female,No,2,0,65631
Bachelors,2014,Bangalore,3,25,Male,Yes,3,0,57665
Bachelors,2014,Bangalore,3,27,Male,No,5,0,48940
Bachelors,2017,Bangalore,3,28,Male,No,2,0,106391
Masters,2018,New Delhi,3,24,Female,Yes,2,1,78472
Bachelors,2017,Pune,2,25,Male,No,3,0,100209
Bachelors,2018,Pune,2,24,Female,No,2,1,106843
Masters,2017,New Delhi,2,28,Female,No,1,0,67754
Bachelors,2013,New Delhi,1,27,Female,No,5,0,94374
Bachelors,2017,New Delhi,2,27,Female,No,5,0,65383
Bachelors,2017,Bangalore,3,28,Male,No,1,0,48784
Bachelors,2016,Pune,2,27,Female,No,5,1,61147
Masters,2018,Bangalore,3,24,Male,No,2,1,71972
Bachelors,2012,Pune,1,26,Male,No,4,0,32798
Bachelors,2016,Bangalore,3,26,Male,No,4,0,111670
Masters,2016,New Delhi,1,27,Male,No,5,0,57223
Bachelors,2015,New Delhi,3,26,Female,No,4,0,41341
Bachelors,2012,Bangalore,3,27,Male,Yes,5,0,113213
Bachelors,2013,Bangalore,3,24,Male,Yes,2,1,61738
Bachelors,2018,Bangalore,3,26,Female,No,4,1,64394
Masters,2017,Pune,2,26,Female,No,4,1,94322
Masters,2017,New Delhi,2,28,Female,No,2,0,46812
Bachelors,2013,Pune,3,28,Male,No,1,0,37752
Masters,2013,New Delhi,3,25,Male,No,3,0,30896
Bachelors,2018,Bangalore,3,28,Female,Yes,1,1,118881
Bachelors,2013,Pune,3,27,Female,No,5,1,60752
Bachelors,2012,Bangalore,3,25,Male,No,3,0,31636
Bachelors,2014,Bangalore,3,28,Male,No,1,0,84479
Bachelors,2017,New Delhi,3,28,Female,No,3,0,50849
Masters,2017,New Delhi,2,28,Male,Yes,2,0,41612
Bachelors,2014,Bangalore,3,25,Male,No,3,0,57176
Masters,2017,New Delhi,3,26,Male,No,4,0,60968
Bachelors,2015,Pune,1,25,Female,No,3,1,49275
Masters,2013,New Delhi,3,27,Male,No,5,0,86304
PHD,2014,Bangalore,3,24,Female,No,2,0,34086
Masters,2017,New Delhi,2,27,Female,No,5,0,50863
Bachelors,2018,Bangalore,3,26,Male,No,4,1,88974
Bachelors,2012,Bangalore,3,26,Male,No,4,0,99039
Masters,2015,Pune,3,27,Female,No,5,1,109298
Bachelors,2018,Bangalore,3,26,Male,No,4,1,97167
Bachelors,2016,Bangalore,3,24,Male,No,2,0,114307
Masters,2017,New Delhi,2,25,Female,No,3,0,73379
Bachelors,2017,New Delhi,2,28,Male,No,1,0,97968
Bachelors,2012,New Delhi,3,27,Female,No,5,0,63759
Masters,2013,New Delhi,3,26,Male,No,4,1,107855
Bachelors,2015,Bangalore,3,26,Female,Yes,4,1,69099
Bachelors,2014,Pune,3,28,Male,No,2,0,88047
Bachelors,2016,Bangalore,3,24,Female,No,2,1,82925
Bachelors,2012,Bangalore,3,28,Male,No,3,0,
Bachelors,2012,Bangalore,3,27,Male,No,5,0,
Bachelors,2013,Bangalore,3,26,Male,No,4,0,
Bachelors,2014,New Delhi,3,28,Female,No,1,0,
Bachelors,2014,New Delhi,3,27,Female,Yes,5,0,
Bachelors,2015,Pune,3,26,Female,Yes,4,1,
Masters,2014,New Delhi,3,26,Male,No,4,1,
PHD,2015,New Delhi,3,25,Female,No,3,0,
Masters,2015,New Delhi,3,25,Male,No,3,0,
Bachelors,2012,Pune,3,27,Male,No,5,0,
Masters,2017,New Delhi,2,24,Female,No,2,0,
Bachelors,2016,Bangalore,3,24,Male,No,2,0,
Masters,2015,Pune,3,28,Female,No,2,0,
Bachelors,2017,Bangalore,3,24,Female,No,2,0,
Bachelors,2017,Pune,3,25,Male,No,3,0,
Bachelors,2017,Bangalore,1,25,Male,No,3,0,
Masters,2015,Pune,3,28,Female,No,2,0,
Bachelors,2017,Pune,3,26,Male,No,4,0,
Bachelors,2014,Pune,3,24,Male,No,2,0,
Bachelors,2014,Pune,3,25,Female,No,3,1,
Bachelors,2018,Pune,3,26,Female,No,4,1,
Bachelors,2016,Bangalore,3,27,Male,No,5,0,
Bachelors,2017,Bangalore,3,28,Female,No,2,0,
Bachelors,2012,Pune,3,28,Male,No,2,0,
Masters,2012,New Delhi,3,24,Female,No,2,1,
Bachelors,2013,Bangalore,3,26,Male,No,4,0,
Bachelors,2015,New Delhi,3,26,Female,Yes,4,0,
Bachelors,2017,Bangalore,3,28,Male,No,1,0,
Bachelors,2018,Pune,3,25,Male,Yes,3,1,
Masters,2017,New Delhi,3,24,Male,No,2,0,
Bachelors,2013,Bangalore,3,28,Male,No,2,1,
Bachelors,2017,Bangalore,3,24,Male,No,2,0,
Masters,2017,New Delhi,2,25,Female,No,3,1,
Bachelors,2013,Pune,2,28,Female,No,1,1,
Bachelors,2015,Bangalore,3,24,Female,No,2,0,
Bachelors,2016,Pune,3,26,Male,No,4,0,
Bachelors,2015,New Delhi,2,27,Female,No,5,1,
Bachelors,2018,Bangalore,3,24,Female,No,2,1,
Bachelors,2013,Bangalore,3,27,Female,No,5,0,
Bachelors,2013,Bangalore,3,24,Male,Yes,2,0,
Bachelors,2013,Bangalore,3,24,Female,No,2,0,
Bachelors,2013,Bangalore,3,27,Male,No,5,0,
Bachelors,2017,Bangalore,3,26,Female,No,4,0,
Bachelors,2015,Bangalore,3,24,Female,No,2,0,
Bachelors,2012,Pune,3,24,Female,No,2,1,
Bachelors,2016,Bangalore,3,24,Male,Yes,2,1,
Bachelors,2012,Bangalore,3,28,Male,No,3,0,
Bachelors,2017,New Delhi,2,27,Male,No,5,0,
Bachelors,2012,Pune,2,27,Female,No,5,1,
Masters,2017,Pune,2,27,Male,No,5,0,
Bachelors,2017,Pune,2,24,Male,No,2,1,
Bachelors,2016,Pune,1,26,Female,No,4,1,
Bachelors,2015,Pune,3,26,Female,No,4,1,
Bachelors,2016,Bangalore,3,25,Male,No,3,1,
Bachelors,2012,Pune,3,26,Male,No,4,0,
Bachelors,2017,Bangalore,3,28,Male,No,2,0,
Bachelors,2012,Bangalore,3,25,Male,No,3,0,
Bachelors,2017,Bangalore,3,25,Female,Yes,3,0,
Masters,2017,Pune,2,26,Male,No,4,0,
Masters,2017,Pune,3,28,Male,No,1,1,
Masters,2015,Pune,2,25,Female,No,3,1,
Bachelors,2017,New Delhi,2,26,Female,No,4,0,
Bachelors,2017,New Delhi,2,26,Male,No,4,0,
Bachelors,2016,Bangalore,3,27,Male,No,5,0,
Bachelors,2017,New Delhi,3,27,Female,No,5,0,
Bachelors,2015,New Delhi,3,24,Female,No,2,0,
Masters,2017,Bangalore,1,26,Female,No,4,1,
Bachelors,2017,New Delhi,1,28,Female,No,2,0,
Bachelors,2015,Bangalore,3,24,Male,No,2,0,
Masters,2015,Pune,2,25,Female,No,3,1,
Bachelors,2014,Bangalore,3,25,Female,No,3,0,
Bachelors,2014,Bangalore,3,28,Male,No,2,0,
Bachelors,2017,Bangalore,3,28,Male,No,3,0,
Masters,2015,New Delhi,1,27,Male,No,5,0,
Bachelors,2014,Pune,1,26,Female,No,4,1,
Masters,2018,Bangalore,3,25,Male,Yes,3,1,
Bachelors,2016,Bangalore,3,28,Female,No,3,0,
Bachelors,2018,New Delhi,3,26,Female,Yes,4,1,
Bachelors,2015,Pune,2,24,Female,No,2,1,
Bachelors,2017,Bangalore,3,27,Male,Yes,5,0,
Bachelors,2014,Bangalore,3,26,Male,No,4,0,
Bachelors,2014,Bangalore,3,24,Male,No,2,0,
Bachelors,2016,Bangalore,3,28,Male,No,2,0,
Bachelors,2015,Pune,2,25,Female,No,3,1,
Bachelors,2013,Pune,3,27,Male,No,5,0,
Bachelors,2015,Bangalore,3,28,Male,No,3,0,
Bachelors,2014,Bangalore,3,26,Male,No,4,0,
Bachelors,2012,Bangalore,3,24,Male,No,2,0,
Bachelors,2013,Bangalore,3,27,Male,No,5,0,
Bachelors,2015,Bangalore,3,26,Female,Yes,4,1,
Bachelors,2015,Pune,3,28,Male,No,2,0,
Bachelors,2014,New Delhi,2,24,Female,No,2,1,
Bachelors,2013,Bangalore,3,24,Male,No,2,0,
Bachelors,2018,Bangalore,3,28,Male,Yes,3,1,
Bachelors,2015,Pune,3,27,Male,No,5,0,
Bachelors,2014,Pune,2,26,Male,No,4,0,
Bachelors,2016,Bangalore,3,25,Male,No,3,1,
PHD,2013,Bangalore,3,25,Male,No,3,0,
Bachelors,2014,Bangalore,3,25,Male,No,3,0,
Bachelors,2017,New Delhi,2,28,Female,No,1,0,
Bachelors,2015,Pune,1,26,Female,No,4,1,
Masters,2017,New Delhi,3,26,Male,Yes,4,1,
Bachelors,2014,Bangalore,3,27,Male,No,5,0,
Bachelors,2012,New Delhi,3,24,Female,No,2,0,
Bachelors,2017,New Delhi,2,24,Male,No,2,0,
Bachelors,2015,Bangalore,3,26,Male,No,4,0,
Bachelors,2012,Bangalore,3,26,Female,No,4,0,
Bachelors,2015,Bangalore,3,24,Male,No,2,0,
Masters,2014,Pune,3,25,Male,No,3,0,
Bachelors,2015,Bangalore,3,28,Male,No,2,0,
Bachelors,2016,Pune,3,24,Male,No,2,0,
Bachelors,2016,Bangalore,3,26,Female,No,4,0,
Bachelors,2015,Pune,2,25,Female,Yes,3,1,
Masters,2013,New Delhi,2,25,Male,No,3,1,
Bachelors,2017,Pune,3,25,Male,No,3,0,
Bachelors,2015,Pune,2,26,Female,Yes,4,1,
Masters,2015,Bangalore,2,26,Female,No,4,1,
Bachelors,2012,Pune,3,27,Female,No,5,0,
Masters,2017,New Delhi,3,28,Male,Yes,2,0,
Bachelors,2016,Pune,3,25,Male,No,3,0,
Bachelors,2016,Bangalore,3,24,Male,No,2,0,
Bachelors,2016,Pune,3,28,Male,No,1,0,
Bachelors,2013,New Delhi,3,27,Female,Yes,5,0,
Bachelors,2015,New Delhi,3,26,Male,No,4,0,
Bachelors,2016,Bangalore,3,27,Male,No,5,0,
Bachelors,2017,Pune,2,27,Male,No,5,0,
Bachelors,2012,Bangalore,3,27,Male,No,5,0,
PHD,2018,New Delhi,3,25,Male,No,3,1,
Bachelors,2014,Pune,3,27,Male,No,5,0,
Bachelors,2013,Bangalore,3,26,Female,No,4,0,
Masters,2017,Pune,2,24,Female,No,2,1,
PHD,2016,New Delhi,2,28,Male,No,3,1,
Masters,2014,New Delhi,3,26,Male,No,4,1,
Masters,2017,New Delhi,2,27,Male,Yes,5,1,
PHD,2013,New Delhi,3,27,Male,No,5,0,
Masters,2014,New Delhi,3,28,Female,No,1,0,
Bachelors,2017,Pune,3,27,Male,No,5,0,
Bachelors,2015,Pune,3,26,Female,Yes,4,1,
Masters,2014,Bangalore,3,26,Male,No,4,1,
Masters,2012,Pune,3,27,Male,No,5,0,
Bachelors,2017,Bangalore,3,26,Male,No,4,0,
Masters,2017,Pune,2,27,Male,No,5,1,
Bachelors,2017,Bangalore,3,27,Male,No,5,0,
Bachelors,2016,Bangalore,3,25,Male,No,3,1,
Bachelors,2016,Pune,3,27,Male,Yes,5,0,
Bachelors,2014,Pune,3,25,Male,No,3,0,
Bachelors,2017,Bangalore,3,28,Male,No,1,0,
Masters,2012,Pune,3,24,Male,No,2,0,
Bachelors,2014,Bangalore,3,25,Male,Yes,3,0,
Bachelors,2013,Pune,2,25,Male,No,3,1,
Bachelors,2012,Pune,3,27,Male,No,5,0,
Bachelors,2017,Bangalore,3,26,Male,No,4,0,
Bachelors,2013,Pune,3,26,Male,No,4,0,
Bachelors,2016,Bangalore,3,24,Male,No,2,0,
Bachelors,2014,Bangalore,3,25,Female,No,3,0,
Bachelors,2015,New Delhi,3,25,Male,No,3,0,
PHD,2012,Pune,3,24,Male,No,2,0,
Bachelors,2013,Bangalore,3,27,Male,No,5,0,
Bachelors,2015,Bangalore,3,25,Male,No,3,0,
Bachelors,2016,Bangalore,3,26,Male,No,4,0,
Masters,2015,New Delhi,3,24,Female,No,2,0,
Bachelors,2012,Bangalore,3,26,Male,No,4,0,
Bachelors,2013,Pune,3,24,Male,No,2,0,
Masters,2017,New Delhi,3,24,Male,No,2,1,
Bachelors,2014,Bangalore,1,25,Male,Yes,3,0,
Bachelors,2018,Bangalore,3,28,Male,No,1,1,
Bachelors,2017,Bangalore,3,28,Male,Yes,3,0,
Masters,2013,Bangalore,3,28,Female,Yes,2,1,
Bachelors,2013,Bangalore,3,26,Male,Yes,4,0,
Masters,2018,New Delhi,1,24,Male,Yes,2,1,
Bachelors,2012,Bangalore,3,25,Male,No,3,0,
PHD,2013,New Delhi,2,27,Female,No,5,0,
Masters,2018,New Delhi,3,28,Male,Yes,2,1,
Bachelors,2014,Bangalore,3,28,Male,No,3,1,
