Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,Salary
Bachelors,2012,Pune,3,28,Male,No,2,0,66799
Bachelors,2017,New Delhi,3,28,Male,No,2,0,36750
Bachelors,2013,Bangalore,3,26,Male,No,4,0,108115
Masters,2013,New Delhi,3,27,Male,No,5,1,99395
Bachelors,2017,Pune,2,24,Female,No,2,1,113237
Bachelors,2017,New Delhi,3,28,Female,No,2,0,46489
Bachelors,2016,Bangalore,3,26,Male,No,4,0,40621
Bachelors,2013,Bangalore,3,27,Female,No,5,0,112112
Masters,2015,Pune,2,28,Female,No,3,0,90499
Bachelors,2014,Bangalore,3,25,Male,No,3,0,92267
Bachelors,2016,Pune,3,28,Male,No,1,0,86355
Masters,2013,Bangalore,1,25,Male,No,3,1,75745
Bachelors,2015,Pune,3,26,Male,No,4,0,117320
Bachelors,2018,New Delhi,3,27,Female,No,5,1,35324
Bachelors,2016,Bangalore,3,24,Male,No,2,1,46168
Bachelors,2012,Pune,2,24,Female,No,2,1,110777
Bachelors,2014,Bangalore,3,26,Male,No,4,0,63969
Bachelors,2016,Pune,2,24,Female,No,2,1,39941
Masters,2012,New Delhi,3,26,Female,No,4,0,67574
Bachelors,2013,Bangalore,3,28,Female,No,3,0,75223
Bachelors,2012,Bangalore,3,24,Male,No,2,1,113289
Bachelors,2015,Bangalore,3,25,Male,No,3,1,106568
Bachelors,2016,Bangalore,3,28,Male,No,3,0,114534
Bachelors,2014,Bangalore,3,28,Female,No,3,0,56499
Bachelors,2013,Bangalore,3,26,Female,No,4,0,38564
Masters,2017,New Delhi,3,24,Female,No,2,1,87600
Bachelors,2016,Bangalore,3,25,Male,No,3,1,47837
Bachelors,2015,Bangalore,3,25,Male,No,3,0,93553
Bachelors,2014,Bangalore,3,27,Male,No,5,0,62153
Bachelors,2012,Bangalore,3,24,Male,No,2,0,107544
Bachelors,2014,Bangalore,3,25,Male,No,3,0,114939
Bachelors,2015,Bangalore,3,28,Male,No,3,0,82069
Masters,2015,New Delhi,3,26,Male,No,4,1,112343
Bachelors,2014,New Delhi,3,28,Female,No,1,0,58572
Bachelors,2015,Pune,3,25,Male,No,3,0,46350
Masters,2015,Pune,2,28,Female,No,2,0,86683
Bachelors,2014,Bangalore,3,27,Female,No,5,0,48596
Bachelors,2013,Bangalore,3,26,Male,No,4,0,87256
Bachelors,2016,Bangalore,3,26,Male,No,4,0,57840
Bachelors,2012,Bangalore,3,25,Male,No,3,0,52993
Bachelors,2015,Bangalore,3,25,Male,No,3,0,41038
Bachelors,2014,New Delhi,3,24,Female,No,2,0,77623
Bachelors,2012,Bangalore,3,27,Male,No,5,1,60175
Masters,2017,New Delhi,3,27,Male,No,5,1,33861
Bachelors,2015,Pune,3,27,Male,No,5,0,113176
Bachelors,2018,Bangalore,3,24,Male,No,2,1,43831
Masters,2017,New Delhi,3,27,Male,No,5,1,65862
Masters,2017,New Delhi,2,28,Female,No,1,1,81178
Masters,2017,Pune,2,24,Male,No,2,1,60676
Masters,2016,New Delhi,3,25,Female,No,3,1,70559
PHD,2015,New Delhi,3,28,Female,No,1,0,64238
Bachelors,2017,New Delhi,2,26,Male,No,4,0,88052
Bachelors,2013,Bangalore,2,27,Male,No,5,0,64166
Bachelors,2015,Bangalore,3,26,Male,No,4,0,77182
Bachelors,2015,Bangalore,3,26,Male,No,4,0,32439
Bachelors,2013,Bangalore,3,28,Male,No,1,0,50035
Bachelors,2015,Bangalore,3,27,Female,No,5,0,80542
Bachelors,2013,New Delhi,3,25,Female,No,3,0,62420
Bachelors,2013,Pune,3,28,Male,No,1,0,33702
Bachelors,2017,Pune,3,24,Male,No,2,0,115261
Bachelors,2013,New Delhi,3,27,Female,No,5,0,71730
Bachelors,2015,Bangalore,3,28,Male,Yes,2,0,62816
Bachelors,2015,Pune,3,28,Male,No,3,0,69782
Bachelors,2014,Pune,2,25,Female,No,3,1,84205
Bachelors,2014,Bangalore,3,25,Male,No,3,0,109383
Bachelors,2017,Bangalore,3,27,Male,No,5,0,62238
Bachelors,2014,Pune,2,26,Female,No,4,1,85096
PHD,2013,New Delhi,3,24,Male,No,2,0,116075
Bachelors,2015,Pune,2,26,Female,No,4,1,71771
Bachelors,2017,Bangalore,3,25,Male,No,3,0,115753
Masters,2013,Pune,2,27,Male,No,5,1,88277
Masters,2017,Bangalore,3,28,Male,No,2,0,93689
Bachelors,2012,Bangalore,3,25,Male,No,3,1,66635
Bachelors,2017,Bangalore,3,27,Male,No,5,0,99729
Masters,2017,Pune,2,27,Female,No,5,0,31275
Masters,2013,Bangalore,2,28,Female,No,2,1,74578
Masters,2017,Pune,3,28,Male,No,1,1,96434
Bachelors,2018,Bangalore,3,27,Female,No,5,1,61655
Bachelors,2014,New Delhi,3,25,Female,No,3,0,91158
Masters,2017,New Delhi,3,27,Male,No,5,1,56194
Masters,2013,New Delhi,3,26,Male,No,4,1,92875
Bachelors,2013,Pune,2,25,Female,No,3,1,80994
Masters,2012,New Delhi,3,26,Male,No,4,1,32087
Bachelors,2016,Bangalore,3,25,Male,No,3,1,98719
Bachelors,2013,Pune,2,26,Male,No,4,0,87370
Bachelors,2018,Bangalore,3,28,Female,No,2,1,73626
Bachelors,2013,Bangalore,3,27,Male,No,5,0,83528
Bachelors,2015,Pune,1,24,Female,Yes,2,1,52481
Bachelors,2013,Pune,3,28,Male,No,2,0,96453
Bachelors,2015,Pune,2,27,Female,Yes,5,1,70248
Bachelors,2018,Bangalore,3,25,Male,No,3,1,61787
Bachelors,2014,Pune,2,27,Female,No,5,1,77328
Bachelors,2013,Pune,3,24,Male,No,2,0,82590
Bachelors,2014,Pune,3,24,Male,No,2,0,81239
PHD,2015,New Delhi,2,25,Female,No,3,0,67827
Bachelors,2014,Bangalore,3,26,Male,Yes,4,0,88526
Bachelors,2018,Bangalore,3,24,Male,No,2,1,34210
Masters,2015,Pune,2,25,Female,No,3,0,40981
Bachelors,2015,Bangalore,3,24,Male,No,2,0,33847
Bachelors,2014,New Delhi,3,24,Female,No,2,0,65274
Masters,2017,Bangalore,2,26,Female,No,4,1,44192
Bachelors,2012,New Delhi,3,28,Male,No,1,0,98830
Masters,2017,Pune,2,26,Female,No,4,0,68278
Bachelors,2016,Pune,3,25,Male,No,3,0,67431
Bachelors,2017,New Delhi,3,24,Male,No,2,1,99914
Bachelors,2013,Pune,2,28,Female,No,3,1,84083
Bachelors,2014,Bangalore,3,25,Female,No,3,1,44882
Bachelors,2014,Bangalore,3,25,Male,No,3,0,54735
Bachelors,2014,Pune,2,24,Female,No,2,1,62988
Bachelors,2015,Bangalore,3,28,Male,No,2,1,66901
Bachelors,2015,Bangalore,3,27,Male,No,5,0,94143
Bachelors,2016,Pune,3,26,Male,No,4,0,50580
Masters,2015,New Delhi,3,26,Female,No,4,1,86273
Bachelors,2016,Bangalore,1,28,Female,No,2,0,47580
Bachelors,2014,Bangalore,3,25,Male,Yes,3,0,88000
Bachelors,2014,Bangalore,3,27,Male,No,5,0,91971
Bachelors,2017,Bangalore,3,28,Male,No,2,0,70667
Masters,2018,New Delhi,3,24,Female,Yes,2,1,40582
Bachelors,2017,Pune,2,25,Male,No,3,0,96377
Bachelors,2018,Pune,2,24,Female,No,2,1,101943
Masters,2017,New Delhi,2,28,Female,No,1,0,71968
Bachelors,2013,New Delhi,1,27,Female,No,5,0,59016
Bachelors,2017,New Delhi,2,27,Female,No,5,0,61975
Bachelors,2017,Bangalore,3,28,Male,No,1,0,32063
Bachelors,2016,Pune,2,27,Female,No,5,1,32317
Masters,2018,Bangalore,3,24,Male,No,2,1,89279
Bachelors,2012,Pune,1,26,Male,No,4,0,90637
Bachelors,2016,Bangalore,3,26,Male,No,4,0,42313
Masters,2016,New Delhi,1,27,Male,No,5,0,74637
Bachelors,2015,New Delhi,3,26,Female,No,4,0,88467
Bachelors,2012,Bangalore,3,27,Male,Yes,5,0,40828
Bachelors,2013,Bangalore,3,24,Male,Yes,2,1,83984
Bachelors,2018,Bangalore,3,26,Female,No,4,1,85232
Masters,2017,Pune,2,26,Female,No,4,1,64652
Masters,2017,New Delhi,2,28,Female,No,2,0,107244
Bachelors,2013,Pune,3,28,Male,No,1,0,36275
Masters,2013,New Delhi,3,25,Male,No,3,0,79512
Bachelors,2018,Bangalore,3,28,Female,Yes,1,1,72145
Bachelors,2013,Pune,3,27,Female,No,5,1,111713
Bachelors,2012,Bangalore,3,25,Male,No,3,0,31901
Bachelors,2014,Bangalore,3,28,Male,No,1,0,106923
Bachelors,2017,New Delhi,3,28,Female,No,3,0,63738
Masters,2017,New Delhi,2,28,Male,Yes,2,0,53830
Bachelors,2014,Bangalore,3,25,Male,No,3,0,62985
Masters,2017,New Delhi,3,26,Male,No,4,0,86976
Bachelors,2015,Pune,1,25,Female,No,3,1,30495
Masters,2013,New Delhi,3,27,Male,No,5,0,41519
PHD,2014,Bangalore,3,24,Female,No,2,0,75163
Masters,2017,New Delhi,2,27,Female,No,5,0,60973
Bachelors,2018,Bangalore,3,26,Male,No,4,1,91215
Bachelors,2012,Bangalore,3,26,Male,No,4,0,103353
Masters,2015,Pune,3,27,Female,No,5,1,119438
Bachelors,2018,Bangalore,3,26,Male,No,4,1,39655
Bachelors,2016,Bangalore,3,24,Male,No,2,0,94139
Masters,2017,New Delhi,2,25,Female,No,3,0,48871
Bachelors,2017,New Delhi,2,28,Male,No,1,0,87572
Bachelors,2012,New Delhi,3,27,Female,No,5,0,83415
Masters,2013,New Delhi,3,26,Male,No,4,1,89760
Bachelors,2015,Bangalore,3,26,Female,Yes,4,1,70950
Bachelors,2014,Pune,3,28,Male,No,2,0,118811
Bachelors,2016,Bangalore,3,24,Female,No,2,1,78360
Bachelors,2012,Bangalore,3,28,Male,No,3,0,70679
Bachelors,2012,Bangalore,3,27,Male,No,5,0,119642
Bachelors,2013,Bangalore,3,26,Male,No,4,0,47080
Bachelors,2014,New Delhi,3,28,Female,No,1,0,74458
Bachelors,2014,New Delhi,3,27,Female,Yes,5,0,57387
Bachelors,2015,Pune,3,26,Female,Yes,4,1,48996
Masters,2014,New Delhi,3,26,Male,No,4,1,35520
PHD,2015,New Delhi,3,25,Female,No,3,0,62120
Masters,2015,New Delhi,3,25,Male,No,3,0,108352
Bachelors,2012,Pune,3,27,Male,No,5,0,60122
Masters,2017,New Delhi,2,24,Female,No,2,0,63063
Bachelors,2016,Bangalore,3,24,Male,No,2,0,62598
Masters,2015,Pune,3,28,Female,No,2,0,83126
Bachelors,2017,Bangalore,3,24,Female,No,2,0,61963
Bachelors,2017,Pune,3,25,Male,No,3,0,89171
Bachelors,2017,Bangalore,1,25,Male,No,3,0,89704
Masters,2015,Pune,3,28,Female,No,2,0,56929
Bachelors,2017,Pune,3,26,Male,No,4,0,100582
Bachelors,2014,Pune,3,24,Male,No,2,0,64098
Bachelors,2014,Pune,3,25,Female,No,3,1,42144
Bachelors,2018,Pune,3,26,Female,No,4,1,95901
Bachelors,2016,Bangalore,3,27,Male,No,5,0,66822
Bachelors,2017,Bangalore,3,28,Female,No,2,0,81445
Bachelors,2012,Pune,3,28,Male,No,2,0,113520
Masters,2012,New Delhi,3,24,Female,No,2,1,98661
Bachelors,2013,Bangalore,3,26,Male,No,4,0,59129
Bachelors,2015,New Delhi,3,26,Female,Yes,4,0,88629
Bachelors,2017,Bangalore,3,28,Male,No,1,0,78052
Bachelors,2018,Pune,3,25,Male,Yes,3,1,104111
Masters,2017,New Delhi,3,24,Male,No,2,0,62641
Bachelors,2013,Bangalore,3,28,Male,No,2,1,114766
Bachelors,2017,Bangalore,3,24,Male,No,2,0,57495
Masters,2017,New Delhi,2,25,Female,No,3,1,99743
Bachelors,2013,Pune,2,28,Female,No,1,1,94130
Bachelors,2015,Bangalore,3,24,Female,No,2,0,55619
Bachelors,2016,Pune,3,26,Male,No,4,0,41016
Bachelors,2015,New Delhi,2,27,Female,No,5,1,114408
Bachelors,2018,Bangalore,3,24,Female,No,2,1,90464
Bachelors,2013,Bangalore,3,27,Female,No,5,0,78186
Bachelors,2013,Bangalore,3,24,Male,Yes,2,0,111620
Bachelors,2013,Bangalore,3,24,Female,No,2,0,61253
Bachelors,2013,Bangalore,3,27,Male,No,5,0,117746
Bachelors,2017,Bangalore,3,26,Female,No,4,0,56314
Bachelors,2015,Bangalore,3,24,Female,No,2,0,110717
Bachelors,2012,Pune,3,24,Female,No,2,1,47076
Bachelors,2016,Bangalore,3,24,Male,Yes,2,1,78437
Bachelors,2012,Bangalore,3,28,Male,No,3,0,66790
Bachelors,2017,New Delhi,2,27,Male,No,5,0,97886
Bachelors,2012,Pune,2,27,Female,No,5,1,80826
Masters,2017,Pune,2,27,Male,No,5,0,98211
Bachelors,2017,Pune,2,24,Male,No,2,1,45337
Bachelors,2016,Pune,1,26,Female,No,4,1,31886
Bachelors,2015,Pune,3,26,Female,No,4,1,49860
Bachelors,2016,Bangalore,3,25,Male,No,3,1,60473
Bachelors,2012,Pune,3,26,Male,No,4,0,78902
Bachelors,2017,Bangalore,3,28,Male,No,2,0,108569
Bachelors,2012,Bangalore,3,25,Male,No,3,0,64827
Bachelors,2017,Bangalore,3,25,Female,Yes,3,0,32916
Masters,2017,Pune,2,26,Male,No,4,0,94394
Masters,2017,Pune,3,28,Male,No,1,1,106946
Masters,2015,Pune,2,25,Female,No,3,1,68579
Bachelors,2017,New Delhi,2,26,Female,No,4,0,82408
Bachelors,2017,New Delhi,2,26,Male,No,4,0,39746
Bachelors,2016,Bangalore,3,27,Male,No,5,0,39901
Bachelors,2017,New Delhi,3,27,Female,No,5,0,64440
Bachelors,2015,New Delhi,3,24,Female,No,2,0,47011
Masters,2017,Bangalore,1,26,Female,No,4,1,90103
Bachelors,2017,New Delhi,1,28,Female,No,2,0,71478
Bachelors,2015,Bangalore,3,24,Male,No,2,0,110515
Masters,2015,Pune,2,25,Female,No,3,1,97981
Bachelors,2014,Bangalore,3,25,Female,No,3,0,119715
Bachelors,2014,Bangalore,3,28,Male,No,2,0,38793
Bachelors,2017,Bangalore,3,28,Male,No,3,0,73985
Masters,2015,New Delhi,1,27,Male,No,5,0,49815
Bachelors,2014,Pune,1,26,Female,No,4,1,98847
Masters,2018,Bangalore,3,25,Male,Yes,3,1,74074
Bachelors,2016,Bangalore,3,28,Female,No,3,0,34271
Bachelors,2018,New Delhi,3,26,Female,Yes,4,1,49970
Bachelors,2015,Pune,2,24,Female,No,2,1,116075
Bachelors,2017,Bangalore,3,27,Male,Yes,5,0,101778
Bachelors,2014,Bangalore,3,26,Male,No,4,0,44089
Bachelors,2014,Bangalore,3,24,Male,No,2,0,37915
Bachelors,2016,Bangalore,3,28,Male,No,2,0,77837
Bachelors,2015,Pune,2,25,Female,No,3,1,76243
Bachelors,2013,Pune,3,27,Male,No,5,0,65021
Bachelors,2015,Bangalore,3,28,Male,No,3,0,108387
Bachelors,2014,Bangalore,3,26,Male,No,4,0,85578
Bachelors,2012,Bangalore,3,24,Male,No,2,0,49258
Bachelors,2013,Bangalore,3,27,Male,No,5,0,55316
Bachelors,2015,Bangalore,3,26,Female,Yes,4,1,96561
Bachelors,2015,Pune,3,28,Male,No,2,0,109902
Bachelors,2014,New Delhi,2,24,Female,No,2,1,89618
Bachelors,2013,Bangalore,3,24,Male,No,2,0,88780
Bachelors,2018,Bangalore,3,28,Male,Yes,3,1,114779
Bachelors,2015,Pune,3,27,Male,No,5,0,109758
Bachelors,2014,Pune,2,26,Male,No,4,0,30861
Bachelors,2016,Bangalore,3,25,Male,No,3,1,49121
PHD,2013,Bangalore,3,25,Male,No,3,0,75805
Bachelors,2014,Bangalore,3,25,Male,No,3,0,45225
Bachelors,2017,New Delhi,2,28,Female,No,1,0,87180
Bachelors,2015,Pune,1,26,Female,No,4,1,73771
Masters,2017,New Delhi,3,26,Male,Yes,4,1,119691
Bachelors,2014,Bangalore,3,27,Male,No,5,0,111437
Bachelors,2012,New Delhi,3,24,Female,No,2,0,31593
Bachelors,2017,New Delhi,2,24,Male,No,2,0,90259
Bachelors,2015,Bangalore,3,26,Male,No,4,0,49856
Bachelors,2012,Bangalore,3,26,Female,No,4,0,84559
Bachelors,2015,Bangalore,3,24,Male,No,2,0,110777
Masters,2014,Pune,3,25,Male,No,3,0,59980
Bachelors,2015,Bangalore,3,28,Male,No,2,0,44318
Bachelors,2016,Pune,3,24,Male,No,2,0,109555
Bachelors,2016,Bangalore,3,26,Female,No,4,0,107378
Bachelors,2015,Pune,2,25,Female,Yes,3,1,65004
Masters,2013,New Delhi,2,25,Male,No,3,1,77346
Bachelors,2017,Pune,3,25,Male,No,3,0,95053
Bachelors,2015,Pune,2,26,Female,Yes,4,1,50320
Masters,2015,Bangalore,2,26,Female,No,4,1,62705
Bachelors,2012,Pune,3,27,Female,No,5,0,83829
Masters,2017,New Delhi,3,28,Male,Yes,2,0,116169
Bachelors,2016,Pune,3,25,Male,No,3,0,61930
Bachelors,2016,Bangalore,3,24,Male,No,2,0,69491
Bachelors,2016,Pune,3,28,Male,No,1,0,33965
Bachelors,2013,New Delhi,3,27,Female,Yes,5,0,62028
Bachelors,2015,New Delhi,3,26,Male,No,4,0,116989
Bachelors,2016,Bangalore,3,27,Male,No,5,0,71606
Bachelors,2017,Pune,2,27,Male,No,5,0,86370
Bachelors,2012,Bangalore,3,27,Male,No,5,0,73755
PHD,2018,New Delhi,3,25,Male,No,3,1,64532
Bachelors,2014,Pune,3,27,Male,No,5,0,45499
Bachelors,2013,Bangalore,3,26,Female,No,4,0,76198
Masters,2017,Pune,2,24,Female,No,2,1,86458
PHD,2016,New Delhi,2,28,Male,No,3,1,65218
Masters,2014,New Delhi,3,26,Male,No,4,1,47021
Masters,2017,New Delhi,2,27,Male,Yes,5,1,48964
PHD,2013,New Delhi,3,27,Male,No,5,0,39353
Masters,2014,New Delhi,3,28,Female,No,1,0,62665
Bachelors,2017,Pune,3,27,Male,No,5,0,102459
Bachelors,2015,Pune,3,26,Female,Yes,4,1,39351
Masters,2014,Bangalore,3,26,Male,No,4,1,81668
Masters,2012,Pune,3,27,Male,No,5,0,69488
Bachelors,2017,Bangalore,3,26,Male,No,4,0,32770
Masters,2017,Pune,2,27,Male,No,5,1,44589
Bachelors,2017,Bangalore,3,27,Male,No,5,0,79381
Bachelors,2016,Bangalore,3,25,Male,No,3,1,32180
Bachelors,2016,Pune,3,27,Male,Yes,5,0,85666
Bachelors,2014,Pune,3,25,Male,No,3,0,77994
Bachelors,2017,Bangalore,3,28,Male,No,1,0,39647
Masters,2012,Pune,3,24,Male,No,2,0,94951
Bachelors,2014,Bangalore,3,25,Male,Yes,3,0,67616
Bachelors,2013,Pune,2,25,Male,No,3,1,32100
Bachelors,2012,Pune,3,27,Male,No,5,0,103022
Bachelors,2017,Bangalore,3,26,Male,No,4,0,62894
Bachelors,2013,Pune,3,26,Male,No,4,0,71831
Bachelors,2016,Bangalore,3,24,Male,No,2,0,115966
Bachelors,2014,Bangalore,3,25,Female,No,3,0,46035
Bachelors,2015,New Delhi,3,25,Male,No,3,0,48122
PHD,2012,Pune,3,24,Male,No,2,0,75817
Bachelors,2013,Bangalore,3,27,Male,No,5,0,33928
Bachelors,2015,Bangalore,3,25,Male,No,3,0,108785
Bachelors,2016,Bangalore,3,26,Male,No,4,0,31398
Masters,2015,New Delhi,3,24,Female,No,2,0,64539
Bachelors,2012,Bangalore,3,26,Male,No,4,0,44972
Bachelors,2013,Pune,3,24,Male,No,2,0,79410
